Rank;Time;Name;Year;Country;Position;Race;Date;Result score
70;1:51.46;Johan STADLER;13-Aug-00;RSA;2;Hoërskool Stadium, Stellenbosch (RSA);11-Feb-26;985
71;1:51.47;Mihlali POSILE;30-Mar-04;RSA;6f3;Pilditch Stadium, Pretoria (RSA);28-Feb-26;984
72;1:51.53;Siphwe MTOLO;14-Aug-05;RSA;2f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;983
72;1:51.53;Mihlali POSILE;30-Mar-04;RSA;9;Germiston Stadium, Johannesburg (RSA);28-Mar-26;983
74;1:51.65;Dirk WIJNBEEK;19-Nov-03;RSA;3f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;979
75;1:51.69;Johannes LOUW;08-Apr-08;RSA;2;UJ Stadium, Johannesburg (RSA);14-Mar-26;978
76;1:51.76;William DOMISSE;01-Sept-99;RSA;3;Hoërskool Stadium, Stellenbosch (RSA);18-Feb-26;976
77;1:51.90;Andrew VAN WYK;18-Jan-09;RSA;7f3;Hoërskool Stadium, Stellenbosch (RSA);06-Mar-26;972
78;1:51.92;Lethabo SIMANGO;07-Mar-05;RSA;4f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;972
78;1:51.92;Ian VAN HEERDEN;14-Sept-04;RSA;5h2;Pilditch Stadium, Pretoria (RSA);13-Mar-26;972
80;1:52.02;Owen HIGGINS;21-Jun-03;RSA;1f1;The Podium, Spokane, WA (USA) (i);14-Feb-26;1022
81;1:52.03;Olerato MASILOANE;01-Apr-09;RSA;3;Pilditch Stadium, Pretoria (RSA);13-Mar-26;969
81;1:52.03;Sanele MSOMI;17-Dec-98;RSA;1h3;UJ Stadium, Johannesburg (RSA);13-Mar-26;969
83;1:52.06;Damian BOSCH;10-May-05;RSA;1;Hoërskool Stadium, Stellenbosch (RSA);11-Feb-26;968
83;1:52.06;Emile ELS;08-Jan-09;RSA;1f2;Pilditch Stadium, Pretoria (RSA);14-Feb-26;968
83;1:52.06;Chris DU PLESSIS;31-May-00;RSA;5f2;Pilditch Stadium, Pretoria (RSA);21-Feb-26;968
86;1:52.16;Amantle MODINGWANE;;RSA;1f2;Washburn Indoor Athletic Facility, Topeka, KS (USA) (i);31-Jan-26;1018
87;1:52.25;Tumelo Nelson LERUMO;03-Aug-03;RSA;1;UJ Stadium, Johannesburg (RSA);14-Mar-26;963
88;1:52.34;Princely MHANGANA;29-May-08;RSA;1;Pilditch Stadium, Pretoria (RSA);14-Feb-26;960
88;1:52.34;Jaden DE WET;15-Jun-05;RSA;8f3;Pilditch Stadium, Pretoria (RSA);28-Feb-26;960
90;1:52.35;Joel Thabo SEMENYA;10-Jul-99;RSA;9f3;Pilditch Stadium, Pretoria (RSA);28-Feb-26;960
91;1:52.36;Marcel BRITS;04-Dec-07;RSA;1;Pilditch Stadium, Pretoria (RSA);28-Jan-26;960
